일자,송금,현찰,매매기준율,기준환율,대미 환산율
2022.11.23,1339.5,1376.27,"1,352.60ÇÏ¶ô-2.40",1355.7,1
2022.11.22,1341.9,1378.71,"1,355.00ÇÏ¶ô-5.00",1352.3,1
2022.11.21,1346.9,1383.8,"1,360.00»ó½Â18.50",1340,1
2022.11.18,1328.5,1364.97,"1,341.50ÇÏ¶ô-10.50",1338.4,1
2022.11.17,1338.9,1375.66,"1,352.00»ó½Â24.00",1325.6,1
2022.11.16,1315.2,1351.24,"1,328.00»ó½Â12.00",1322.4,1
2022.11.15,1303.3,1339.03,"1,316.00ÇÏ¶ô-14.00",1320.3,1
2022.11.14,1317.1,1353.27,"1,330.00»ó½Â10.00",1334.1,1
2022.11.11,1307.2,1343.1,"1,320.00ÇÏ¶ô-57.00",1370.1,1
2022.11.10,1363.7,1401.09,"1,377.00»ó½Â8.50",1368.3,1
2022.11.09,1355.3,1392.44,"1,368.50ÇÏ¶ô-15.50",1387.3,1
2022.11.08,1370.6,1408.22,"1,384.00ÇÏ¶ô-14.00",1406.5,1
2022.11.07,1384.5,1422.46,"1,398.00ÇÏ¶ô-15.00",1422.4,1
2022.11.04,1399.3,1437.72,"1,413.00ÇÏ¶ô-16.00",1422.1,1
2022.11.03,1415.2,1454,"1,429.00»ó½Â12.50",1418,1
2022.11.02,1402.8,1441.28,"1,416.50»ó½Â0.50",1421.7,1
2022.11.01,1402.3,1440.78,"1,416.00ÇÏ¶ô-13.50",1422.2,1
2022.10.31,1415.7,1454.51,"1,429.50»ó½Â4.00",1419.3,1
2022.10.28,1411.7,1450.44,1425.5,1418.1,1
2022.10.27,1411.7,1450.44,"1,425.50»ó½Â5.50",1428.2,1
2022.10.26,1406.3,1444.85,"1,420.00ÇÏ¶ô-19.00",1436.5,1
2022.10.25,1425.1,1464.18,"1,439.00ÇÏ¶ô-4.00",1436.6,1
2022.10.24,1429.1,1468.25,"1,443.00»ó½Â3.00",1436.6,1
2022.10.21,1426.1,1465.2,"1,440.00»ó½Â11.50",1431.7,1
2022.10.20,1414.7,1453.49,"1,428.50ÇÏ¶ô-7.50",1420.6,1
2022.10.19,1422.1,1461.13,"1,436.00»ó½Â9.50",1425.6,1
2022.10.18,1412.7,1451.46,"1,426.50ÇÏ¶ô-12.00",1436.6,1
2022.10.17,1424.6,1463.67,"1,438.50ÇÏ¶ô-1.50",1428.9,1
2022.10.14,1426.1,1465.2,"1,440.00ÇÏ¶ô-5.00",1427,1
2022.10.13,1431,1470.28,"1,445.00»ó½Â13.00",1430.4,1
2022.10.12,1418.2,1457.06,"1,432.00ÇÏ¶ô-2.00",1433.5,1
2022.10.11,1420.1,1459.09,"1,434.00»ó½Â5.00",1410.3,1
2022.10.07,1415.2,1454,"1,429.00»ó½Â20.00",1404.2,1
2022.10.06,1395.4,1433.65,"1,409.00ÇÏ¶ô-14.00",1419.1,1
2022.10.05,1409.2,1447.9,"1,423.00ÇÏ¶ô-7.00",1431.2,1
2022.10.04,1416.2,1455.02,"1,430.00ÇÏ¶ô-7.00",1432.1,1
2022.09.30,1423.1,1462.14,"1,437.00ÇÏ¶ô-1.00",1434.8,1
2022.09.29,1424.1,1463.16,"1,438.00ÇÏ¶ô-7.50",1436.5,1
2022.09.28,1431.5,1470.79,"1,445.50»ó½Â21.50",1427.2,1
2022.09.27,1410.2,1448.92,"1,424.00ÇÏ¶ô-8.50",1429.7,1
2022.09.26,1418.7,1457.56,"1,432.50»ó½Â15.50",1408.4,1
2022.09.23,1403.3,1441.79,"1,417.00»ó½Â12.00",1408,1
2022.09.22,1391.4,1429.58,"1,405.00»ó½Â10.00",1393.6,1
2022.09.21,1381.5,1419.41,"1,395.00»ó½Â2.50",1389.1,1
2022.09.20,1379,1416.86,"1,392.50ÇÏ¶ô-2.00",1390.1,1
2022.09.19,1381,1418.9,"1,394.50»ó½Â0.50",1394.2,1
2022.09.16,1380.5,1418.39,"1,394.00ÇÏ¶ô-5.00",1394.2,1
2022.09.15,1385.5,1423.48,"1,399.00»ó½Â4.50",1391.7,1
2022.09.14,1381,1418.9,"1,394.50»ó½Â7.50",1374.8,1
2022.09.13,1373.6,1411.27,"1,387.00ÇÏ¶ô-0.50",1381.2,1
2022.09.08,1374.1,1411.78,"1,387.50ÇÏ¶ô-1.50",1385.3,1
2022.09.07,1375.6,1413.3,"1,389.00»ó½Â11.00",1370.3,1
2022.09.06,1364.7,1402.11,"1,378.00»ó½Â7.00",1369.7,1
2022.09.05,1357.8,1394.99,"1,371.00»ó½Â8.50",1356.5,1
2022.09.02,1349.3,1386.34,"1,362.50»ó½Â7.50",1351.4,1
2022.09.01,1341.9,1378.71,"1,355.00»ó½Â10.50",1345.1,1
2022.08.31,1331.5,1368.02,"1,344.50ÇÏ¶ô-1.50",1347.5,1
2022.08.30,1333,1369.55,"1,346.00ÇÏ¶ô-3.50",1347.7,1
2022.08.29,1336.5,1373.11,"1,349.50»ó½Â16.50",1332.5,1
2022.08.26,1320.1,1356.32,"1,333.00ÇÏ¶ô-4.50",1336.9,1
2022.08.25,1324.6,1360.9,"1,337.50ÇÏ¶ô-5.50",1341.4,1
2022.08.24,1330,1366.5,"1,343.00»ó½Â1.00",1341.8,1
2022.08.23,1329,1365.48,"1,342.00ÇÏ¶ô-2.00",1338.2,1
2022.08.22,1331,1367.52,"1,344.00»ó½Â7.00",1326.7,1
2022.08.19,1324.1,1360.39,"1,337.00»ó½Â14.50",1317.3,1
2022.08.18,1309.7,1345.64,"1,322.50»ó½Â7.50",1309.8,1
2022.08.17,1302.3,1338.01,"1,315.00»ó½Â2.00",1309.6,1
2022.08.16,1300.3,1335.97,"1,313.00»ó½Â7.00",1303.1,1
2022.08.12,1293.4,1328.85,"1,306.00»ó½Â4.50",1302.5,1
2022.08.11,1288.9,1324.27,"1,301.50ÇÏ¶ô-3.50",1309.1,1
2022.08.10,1292.4,1327.83,"1,305.00ÇÏ¶ô-1.00",1305.1,1
2022.08.09,1293.4,1328.85,"1,306.00»ó½Â1.50",1304.8,1
2022.08.08,1291.9,1327.32,"1,304.50»ó½Â5.00",1299.3,1
2022.08.05,1286.9,1322.24,"1,299.50ÇÏ¶ô-11.00",1309.7,1
2022.08.04,1297.8,1333.43,"1,310.50ÇÏ¶ô-1.00",1310.5,1
2022.08.03,1298.8,1334.45,"1,311.50»ó½Â2.50",1307.2,1
2022.08.02,1296.4,1331.9,"1,309.00»ó½Â6.00",1306.4,1
2022.08.01,1290.4,1325.8,"1,303.00ÇÏ¶ô-0.50",1298.6,1
2022.07.29,1290.9,1326.31,"1,303.50»ó½Â2.00",1304,1
2022.07.28,1288.9,1324.27,"1,301.50ÇÏ¶ô-12.50",1312.8,1
2022.07.27,1301.3,1336.99,"1,314.00»ó½Â6.00",1310,1
2022.07.26,1295.4,1330.89,"1,308.00ÇÏ¶ô-2.50",1311,1
2022.07.25,1297.8,1333.43,"1,310.50ÇÏ¶ô-2.50",1311.7,1
2022.07.22,1300.3,1335.97,"1,313.00»ó½Â1.00",1312.1,1
2022.07.21,1299.3,1334.96,"1,312.00»ó½Â0.50",1308.6,1
2022.07.20,1298.8,1334.45,"1,311.50»ó½Â1.00",1314.9,1
2022.07.19,1297.8,1333.43,"1,310.50ÇÏ¶ô-5.50",1317.8,1
2022.07.18,1303.3,1339.03,"1,316.00ÇÏ¶ô-10.00",1323.7,1
2022.07.15,1313.2,1349.2,"1,326.00ÇÏ¶ô-1.00",1310,1
2022.07.14,1314.2,1350.22,"1,327.00»ó½Â22.00",1305.9,1
2022.07.13,1292.4,1327.83,"1,305.00ÇÏ¶ô-7.50",1312.9,1
2022.07.12,1299.8,1335.46,"1,312.50»ó½Â7.50",1300.6,1
2022.07.11,1292.4,1327.83,"1,305.00»ó½Â4.00",1299.3,1
2022.07.08,1288.4,1323.76,"1,301.00»ó½Â0.50",1302.7,1
2022.07.07,1287.9,1323.25,"1,300.50ÇÏ¶ô-7.00",1307.4,1
2022.07.06,1294.9,1330.38,"1,307.50ÇÏ¶ô-2.00",1298,1
2022.07.05,1296.8,1332.41,"1,309.50»ó½Â11.00",1297.9,1
2022.07.04,1286,1321.22,"1,298.50»ó½Â1.50",1294.2,1
2022.07.01,1284.5,1319.69,1297,1299.8,1
2022.06.30,1284.5,1319.69,"1,297.00ÇÏ¶ô-1.00",1292.9,1
2022.06.29,1285.5,1320.71,"1,298.00»ó½Â11.50",1284.9,1
2022.06.28,1274.1,1309.01,"1,286.50»ó½Â2.50",1285.6,1
2022.06.27,1271.6,1306.47,"1,284.00ÇÏ¶ô-11.00",1299.4,1
2022.06.24,1282.5,1317.66,"1,295.00ÇÏ¶ô-9.00",1300.7,1
2022.06.23,1291.4,1326.82,"1,304.00ÇÏ¶ô-0.50",1295.7,1
2022.06.22,1291.9,1327.32,"1,304.50»ó½Â12.50",1290.6,1
2022.06.21,1279.5,1314.61,"1,292.00ÇÏ¶ô-1.00",1291.7,1
2022.06.20,1280.5,1315.62,"1,293.00»ó½Â1.50",1287.5,1
2022.06.17,1279,1314.1,"1,291.50ÇÏ¶ô-2.00",1284.1,1
2022.06.16,1281,1316.13,"1,293.50»ó½Â1.50",1291.3,1
2022.06.15,1279.5,1314.61,"1,292.00»ó½Â5.50",1289.7,1
2022.06.14,1274.1,1309.01,"1,286.50ÇÏ¶ô-0.50",1286,1
2022.06.13,1274.6,1309.52,"1,287.00»ó½Â17.00",1266,1
2022.06.10,1257.7,1292.22,"1,270.00»ó½Â13.50",1257.6,1
2022.06.09,1244.4,1278.48,"1,256.50ÇÏ¶ô-0.50",1255.4,1
2022.06.08,1244.9,1278.99,"1,257.00»ó½Â0.50",1257.1,1
2022.06.07,1244.4,1278.48,"1,256.50»ó½Â12.50",1241.1,1
2022.06.03,1232,1265.77,"1,244.00ÇÏ¶ô-6.50",1251.2,1
2022.06.02,1238.4,1272.38,"1,250.50»ó½Â12.50",1238.4,1
2022.05.31,1226,1259.66,"1,238.00ÇÏ¶ô-1.50",1245.8,1
2022.05.30,1227.5,1261.19,"1,239.50ÇÏ¶ô-14.50",1256.9,1
2022.05.27,1241.9,1275.94,"1,254.00ÇÏ¶ô-12.00",1266.4,1
2022.05.26,1253.8,1288.15,"1,266.00»ó½Â2.00",1263.3,1
2022.05.25,1251.8,1286.12,"1,264.00ÇÏ¶ô-1.00",1264.3,1
2022.05.24,1252.8,1287.13,1265,1267.7,1
2022.05.23,1252.8,1287.13,"1,265.00ÇÏ¶ô-4.00",1269.5,1
2022.05.20,1256.7,1291.2,"1,269.00ÇÏ¶ô-10.00",1274.6,1
2022.05.19,1266.6,1301.38,"1,279.00»ó½Â11.00",1269.3,1
