"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 11- 01","91.22","91.22","91.22","91.22","","0.10%"
"2022- 10- 31","91.13","91.13","91.13","91.13","","0.02%"
"2022- 10- 28","91.11","91.11","91.11","91.11","","-0.18%"
"2022- 10- 27","91.27","91.27","91.27","91.27","","0.12%"
"2022- 10- 26","91.16","91.16","91.16","91.16","","0.35%"
"2022- 10- 25","90.84","90.84","90.84","90.84","","-0.04%"
"2022- 10- 24","90.88","90.88","90.88","90.88","","-0.08%"
"2022- 10- 21","90.95","90.95","90.95","90.95","","0.45%"
"2022- 10- 20","90.54","90.54","90.54","90.54","","0.02%"
"2022- 10- 19","90.53","90.53","90.53","90.53","","0.68%"
"2022- 10- 18","89.92","89.92","89.92","89.92","","-0.87%"
"2022- 10- 17","90.71","90.71","90.71","90.71","","-0.09%"
"2022- 10- 14","90.79","90.78","90.78","90.78","","-1.77%"
"2022- 10- 13","92.42","92.42","92.42","92.42","","0.92%"
"2022- 10- 12","91.58","91.58","91.58","91.58","","-1.46%"
"2022- 10- 11","92.93","92.93","92.93","92.93","","-1.57%"
"2022- 10- 10","94.42","94.42","94.42","94.42","","-1.44%"
"2022- 10- 07","95.80","95.80","95.80","95.80","","3.03%"
"2022- 10- 06","92.98","92.98","92.98","92.98","","0.93%"
"2022- 10- 05","92.12","92.12","92.12","92.12","","1.34%"
"2022- 10- 04","90.90","90.90","90.90","90.90","","3.27%"
"2022- 10- 03","88.03","88.03","88.03","88.03","","-3.17%"
"2022- 09- 30","90.91","90.91","90.91","90.91","","0.11%"
"2022- 09- 29","90.81","90.81","90.81","90.81","","-0.10%"
"2022- 09- 28","90.90","90.91","90.91","90.91","","0.20%"
"2022- 09- 27","90.72","90.72","90.72","90.72","","0.24%"
"2022- 09- 26","90.50","90.50","90.50","90.50","","-0.57%"
"2022- 09- 23","91.02","91.02","91.02","91.02","","-1.26%"
"2022- 09- 22","92.18","92.18","92.18","92.18","","0.39%"
"2022- 09- 21","91.81","91.81","91.81","91.81","","-0.10%"
"2022- 09- 20","91.90","91.90","91.90","91.90","","-0.60%"
"2022- 09- 19","92.46","92.46","92.46","92.46","","0.22%"
"2022- 09- 16","92.26","92.26","92.26","92.26","","0.30%"
"2022- 09- 15","91.98","91.98","91.98","91.98","","-1.47%"
"2022- 09- 14","93.35","93.35","93.35","93.35","","0.91%"
"2022- 09- 13","92.51","92.51","92.51","92.51","","-0.91%"
"2022- 09- 12","93.36","93.36","93.36","93.36","","0.63%"
"2022- 09- 09","92.78","92.78","92.78","92.78","","2.89%"
"2022- 09- 08","90.17","90.17","90.17","90.17","","0.91%"
"2022- 09- 07","89.36","89.36","89.36","89.36","","-4.05%"
"2022- 09- 06","93.13","93.13","93.13","93.13","","0.57%"
"2022- 09- 02","92.60","92.60","92.60","92.60","","0.56%"
"2022- 09- 01","92.08","92.08","92.08","92.08","","-4.68%"
"2022- 08- 31","96.60","96.60","96.60","96.60","","0.10%"
"2022- 08- 30","96.51","96.51","96.51","96.51","","-0.39%"
"2022- 08- 29","96.88","96.88","96.88","96.88","","0.36%"
"2022- 08- 26","96.53","96.53","96.53","96.53","","0.31%"
"2022- 08- 25","96.23","96.23","96.23","96.23","","-0.24%"
"2022- 08- 24","96.46","96.46","96.46","96.46","","0.05%"
"2022- 08- 23","96.41","96.41","96.41","96.41","","1.07%"
"2022- 08- 22","95.39","95.39","95.39","95.39","","0.00%"
"2022- 08- 19","95.39","95.39","95.39","95.39","","0.22%"
"2022- 08- 18","95.18","95.18","95.18","95.18","","1.21%"
"2022- 08- 17","94.04","94.04","94.04","94.04","","0.62%"
"2022- 08- 16","93.46","93.46","93.46","93.46","","-1.59%"
"2022- 08- 15","94.97","94.97","94.97","94.97","","-1.57%"
"2022- 08- 12","96.48","96.48","96.48","96.48","","-1.73%"
"2022- 08- 11","98.18","98.18","98.18","98.18","","1.35%"
"2022- 08- 10","96.87","96.87","96.87","96.87","","0.93%"
