두바이_유가,전력_가격,환율
77.03,125.0,1185.5
77.03,114.0,1185.5
77.03,151.0,1185.5
78.03,162.0,1190.8
78.81,161.0,1194.3
79.69,162.0,1198.2
79.53,162.0,1199.6
79.53,136.0,1199.6
79.53,128.0,1199.6
78.89,149.0,1202.4
80.79,163.0,1200.0
81.34,164.0,1195.2
81.3,164.0,1189.9
82.27,164.0,1188.2
82.27,164.0,1188.2
82.27,164.0,1188.2
82.27,164.0,1187.6
83.22,164.0,1192.3
83.56,164.0,1188.9
83.5,164.0,1191.8
83.29,164.0,1190.4
83.29,164.0,1190.4
83.29,164.0,1190.4
82.87,164.0,1193.6
83.21,164.0,1194.2
83.39,164.0,1197.8
83.33,164.0,1197.0
83.36,164.0,1202.4
83.36,164.0,1202.4
83.36,164.0,1202.4
83.45,164.0,1202.4
87.42,164.0,1202.4
87.77,164.0,1202.4
89.16,164.0,1205.7
91.06,164.0,1205.4
91.06,164.0,1205.4
91.06,164.0,1205.4
90.76,164.0,1199.5
89.28,164.0,1199.4
89.88,164.0,1197.8
89.92,207.0,1196.0
91.79,208.0,1196.0
91.79,192.0,1196.0
91.79,142.0,1196.0
92.61,187.0,1199.6
90.86,208.0,1198.3
91.56,209.0,1198.5
90.67,212.0,1196.9
90.9,212.0,1197.1
90.9,204.0,1197.1
90.9,183.0,1197.1
90.9,213.0,1196.4
91.84,216.0,1194.6
91.7,212.0,1194.7
92.07,211.0,1192.1
91.93,212.0,1199.4
91.93,202.0,1199.4
91.93,184.0,1199.4
92.34,213.0,1202.7
102.0,189.0,1202.7
109.4,193.0,1205.6
106.58,195.0,1205.0
114.95,195.0,1203.6
114.95,190.0,1203.6
114.95,188.0,1203.6
118.18,192.0,1211.5
122.53,192.0,1225.4
110.86,187.0,1225.4
110.2,191.0,1234.5
112.59,190.0,1228.7
112.59,190.0,1228.7
112.59,184.0,1228.7
109.18,180.0,1232.4
105.76,189.0,1238.6
104.89,190.0,1241.7
108.78,191.0,1240.4
108.99,191.0,1220.6
108.99,192.0,1220.6
108.99,186.0,1220.6
111.73,197.0,1211.1
111.43,194.0,1213.7
112.59,198.0,1221.4
111.82,194.0,1212.7
112.1,195.0,1219.4
112.1,193.0,1219.4
112.1,187.0,1219.4
110.84,195.0,1218.3
110.55,195.0,1225.7
110.89,194.0,1220.5
110.89,195.0,1210.8
101.85,204.0,1210.7
101.85,203.0,1210.7
101.85,196.0,1210.7
104.77,205.0,1216.1
103.27,205.0,1216.7
98.81,204.0,1212.6
98.42,204.0,1219.1
99.72,207.0,1218.5
99.72,202.0,1218.5
99.72,177.0,1218.5
97.02,199.0,1224.0
101.49,203.0,1232.0
103.7,202.0,1236.6
104.82,203.0,1227.7
104.82,202.0,1224.2
104.82,201.0,1224.2
104.82,181.0,1224.2
105.44,206.0,1230.1
103.09,203.0,1232.8
103.12,203.0,1234.9
103.85,202.0,1237.1
103.43,202.0,1236.4
103.43,201.0,1236.4
103.43,176.0,1236.4
102.3,202.0,1241.7
102.69,204.0,1247.1
102.69,202.0,1248.3
102.76,201.0,1263.1
102.79,202.0,1269.4
102.79,200.0,1269.4
102.79,132.0,1269.4
103.86,139.0,1265.4
103.39,139.0,1265.8
105.97,141.0,1265.7
106.4,137.0,1265.7
107.57,138.0,1261.8
107.57,141.0,1261.8
107.57,137.0,1261.8
102.79,139.0,1272.7
100.43,138.0,1274.6
104.56,140.0,1275.5
104.66,142.0,1277.0
107.23,141.0,1286.4
107.23,138.0,1286.4
107.23,130.0,1286.4
108.4,140.0,1286.0
106.88,141.0,1281.6
105.53,142.0,1277.2
106.99,142.0,1269.3
107.21,140.0,1274.6
107.21,140.0,1274.6
107.21,126.0,1274.6
107.32,135.0,1269.5
107.17,140.0,1267.7
107.17,139.0,1264.3
107.64,138.0,1263.3
107.75,138.0,1266.4
107.75,138.0,1266.4
107.75,128.0,1266.4
107.75,136.0,1256.9
108.13,138.0,1245.8
110.91,129.0,1245.8
112.02,128.0,1238.4
113.83,129.0,1251.2
113.83,128.0,1251.2
113.83,120.0,1251.2
114.01,123.0,1251.2
115.29,124.0,1241.1
117.5,128.0,1257.1
117.09,127.0,1255.4
116.67,128.0,1257.6
116.67,126.0,1257.6
116.67,117.0,1257.6
116.64,126.0,1266.0
115.71,131.0,1286.0
114.35,131.0,1289.7
115.34,128.0,1291.3
112.72,130.0,1284.1
112.72,121.0,1284.1
112.72,118.0,1284.1
112.72,127.0,1287.5
113.34,131.0,1291.7
112.34,131.0,1290.6
